时间,欧元兑美元
1981-02-12,1.1975
1981-02-13,1.1857
1981-02-16,1.1624
1981-02-17,1.186
1981-02-18,1.204
1981-02-19,1.2101
1981-02-20,1.2424
1981-02-23,1.2261
1981-02-24,1.2204
1981-02-25,1.2249
1981-02-26,1.2218
1981-02-27,1.2117
1981-03-02,1.197
1981-03-03,1.1925
1981-03-04,1.2076
1981-03-05,1.2064
1981-03-06,1.2051
1981-03-09,1.2124
1981-03-10,1.2243
1981-03-11,1.2163
1981-03-12,1.2186
1981-03-13,1.2203
1981-03-16,1.2299
1981-03-17,1.234
1981-03-18,1.2453
1981-03-19,1.2549
1981-03-20,1.2453
1981-03-23,1.2278
1981-03-24,1.2302
1981-03-25,1.2258
1981-03-26,1.2229
1981-03-27,1.2067
1981-03-30,1.2095
1981-03-31,1.2235
1981-04-01,1.2218
1981-04-02,1.2185
1981-04-03,1.2038
1981-04-06,1.1946
1981-04-07,1.1966
1981-04-08,1.2105
1981-04-09,1.195
1981-04-10,1.1946
1981-04-13,1.1799
1981-04-14,1.185
1981-04-15,1.1813
1981-04-16,1.1725
1981-04-21,1.1743
1981-04-22,1.1808
1981-04-23,1.1833
1981-04-24,1.1774
1981-04-27,1.1766
1981-04-28,1.171
1981-04-29,1.162
1981-04-30,1.162
1981-05-01,1.1621
1981-05-05,1.1296
1981-05-06,1.1378
1981-05-07,1.1316
1981-05-08,1.1377
1981-05-11,1.1216
1981-05-12,1.1171
1981-05-13,1.1177
1981-05-14,1.1089
1981-05-15,1.1119
1981-05-18,1.115
1981-05-19,1.1133
1981-05-20,1.115
1981-05-21,1.1046
1981-05-22,1.1062
1981-05-26,1.1022
1981-05-27,1.0958
1981-05-28,1.1053
1981-05-29,1.1019
1981-06-01,1.1028
1981-06-02,1.0868
1981-06-03,1.0893
1981-06-04,1.073
1981-06-05,1.06
1981-06-08,1.0668
1981-06-09,1.07
1981-06-10,1.082
1981-06-11,1.0703
1981-06-12,1.0706
1981-06-15,1.0852
1981-06-16,1.0912
1981-06-17,1.0952
1981-06-18,1.0826
1981-06-19,1.074
1981-06-22,1.082
1981-06-23,1.0873
1981-06-24,1.0834
1981-06-25,1.0714
1981-06-26,1.0724
1981-06-29,1.0727
1981-06-30,1.0719
1981-07-01,1.0625
1981-07-02,1.0654
1981-07-03,1.063
1981-07-06,1.0498
1981-07-07,1.0512
1981-07-08,1.0433
1981-07-09,1.0413
1981-07-10,1.0498
1981-07-13,1.0564
1981-07-14,1.0482
1981-07-15,1.0591
1981-07-16,1.0645
1981-07-17,1.0564
1981-07-20,1.0499
1981-07-21,1.0413
1981-07-22,1.048
1981-07-23,1.049
1981-07-24,1.0514
1981-07-27,1.0562
1981-07-28,1.0492
1981-07-30,1.0408
1981-07-31,1.041
1981-08-03,1.0223
1981-08-04,1.0191
1981-08-05,1.0211
1981-08-06,1.0176
1981-08-07,1.0122
1981-08-10,0.9968
1981-08-11,0.9987
1981-08-12,1.0313
1981-08-13,1.0201
1981-08-14,1.0218
1981-08-17,1.0219
1981-08-18,1.0286
1981-08-19,1.0278
1981-08-20,1.0362
1981-08-21,1.0413
1981-08-24,1.0429
1981-08-25,1.0234
1981-08-26,1.0335
1981-08-27,1.035
1981-08-28,1.0424
1981-09-01,1.0419
1981-09-02,1.049
1981-09-03,1.0545
1981-09-04,1.0591
1981-09-07,1.0537
1981-09-08,1.053
1981-09-09,1.0525
1981-09-10,1.0623
1981-09-11,1.0624
1981-09-14,1.0743
1981-09-15,1.0866
1981-09-16,1.0988
1981-09-17,1.1212
1981-09-18,1.1216
1981-09-21,1.141
1981-09-22,1.1244
1981-09-23,1.1176
1981-09-24,1.093
1981-09-25,1.0961
1981-09-28,1.0872
1981-09-29,1.1014
1981-09-30,1.0967
1981-10-01,1.0943
1981-10-02,1.1114
1981-10-05,1.1197
1981-10-06,1.1091
1981-10-07,1.1231
1981-10-08,1.1259
1981-10-09,1.1386
1981-10-12,1.1425
1981-10-13,1.1289
1981-10-14,1.1223
1981-10-15,1.1265
1981-10-16,1.1121
1981-10-19,1.1166
1981-10-20,1.1178
1981-10-21,1.1008
1981-10-22,1.0916
1981-10-23,1.0976
1981-10-26,1.0816
1981-10-27,1.0843
1981-10-28,1.0892
1981-10-29,1.0976
1981-10-30,1.1056
1981-11-02,1.1207
1981-11-03,1.1197
1981-11-04,1.1259
1981-11-05,1.126
1981-11-06,1.1188
1981-11-09,1.1289
1981-11-10,1.1203
1981-11-11,1.1239
1981-11-12,1.1274
1981-11-13,1.1198
1981-11-16,1.1142
1981-11-17,1.1079
1981-11-18,1.1106
1981-11-19,1.1128
1981-11-20,1.1079
1981-11-23,1.109
1981-11-24,1.1141
1981-11-25,1.1179
1981-11-26,1.1178
1981-11-27,1.1215
1981-11-30,1.1274
1981-12-01,1.1172
1981-12-02,1.1174
1981-12-03,1.1128
1981-12-04,1.1191
1981-12-07,1.1145
1981-12-08,1.106
1981-12-09,1.1078
1981-12-10,1.1018
1981-12-11,1.0983
1981-12-14,1.0826
1981-12-15,1.0991
1981-12-16,1.0967
1981-12-17,1.0948
1981-12-18,1.0867
1981-12-21,1.0928
1981-12-22,1.0946
1981-12-23,1.0916
1981-12-24,1.0915
1981-12-29,1.0948
1981-12-30,1.0983
1981-12-31,1.1046
1982-01-04,1.1121
1982-01-05,1.099
1982-01-06,1.105
1982-01-07,1.097
1982-01-08,1.1006
1982-01-11,1.0894
1982-01-12,1.0845
