时间,沪深300:成交金额
2007-04-25,1290.891715
2007-04-26,1078.07046
2007-04-27,1137.228098
2007-04-30,1380.813715
2007-05-08,1536.774197
2007-05-09,1890.604732
2007-05-10,1531.592155
2007-05-11,1337.739147
2007-05-14,1371.567274
2007-05-15,1382.201885
2007-05-16,1266.938082
2007-05-17,1354.591003
2007-05-18,1207.417725
2007-05-21,1451.29794
2007-05-22,1613.233703
2007-05-23,1474.944672
2007-05-24,1723.742268
2007-05-25,1508.0905
2007-05-28,1832.129326
2007-05-29,1794.766882
2007-05-30,2103.189028
2007-05-31,1936.71976
2007-06-01,1939.802693
2007-06-04,1312.962016
2007-06-05,1507.649214
2007-06-06,1359.384642
2007-06-07,1372.285791
2007-06-08,1366.506555
2007-06-11,1405.191003
2007-06-12,1581.02391
2007-06-13,1659.088544
2007-06-14,1337.9227
2007-06-15,1092.342669
2007-06-18,1418.483267
2007-06-19,1305.232725
2007-06-20,1410.607576
2007-06-21,1217.830959
2007-06-22,1277.476738
2007-06-25,1134.326987
2007-06-26,878.67742
2007-06-27,1021.316201
2007-06-28,983.720473
2007-06-29,885.275861
2007-07-02,719.958655
2007-07-03,688.874945
2007-07-04,590.55648
2007-07-05,613.24056
2007-07-06,718.949899
2007-07-09,792.709894
2007-07-10,771.84568
2007-07-11,515.322857
2007-07-12,459.680432
2007-07-13,386.155138
2007-07-16,444.629513
2007-07-17,501.582266
2007-07-18,694.678317
2007-07-19,457.284885
2007-07-20,815.56215
2007-07-23,1258.241767
2007-07-24,1120.24885
2007-07-25,1017.717614
2007-07-26,1039.866056
2007-07-27,1059.100685
2007-07-30,1210.835013
2007-07-31,1188.585914
2007-08-01,1289.112168
2007-08-02,1083.579648
2007-08-03,1412.875243
2007-08-06,1365.990195
2007-08-07,1546.381157
2007-08-08,1354.766253
2007-08-09,1171.913355
2007-08-10,1235.982697
2007-08-13,1371.895381
2007-08-14,1055.368401
2007-08-15,1099.029134
2007-08-16,1102.146978
2007-08-17,1115.652197
2007-08-20,1192.593465
2007-08-21,1329.024015
2007-08-22,1387.22276
2007-08-23,1308.732143
2007-08-24,1345.460995
2007-08-27,1493.754805
2007-08-28,1404.196652
2007-08-29,1389.835493
2007-08-30,1238.201815
2007-08-31,1228.624023
2007-09-03,1496.124234
2007-09-04,1476.866669
2007-09-05,1227.406985
2007-09-06,1285.810178
2007-09-07,1459.304288
2007-09-10,1167.689812
2007-09-11,1272.496541
2007-09-12,1137.739086
2007-09-13,1189.347152
2007-09-14,1187.391582
2007-09-17,1314.022968
2007-09-18,1402.630325
2007-09-19,1101.327806
2007-09-20,1137.257951
2007-09-21,1211.25875
2007-09-24,1166.784593
2007-09-25,954.948333
2007-09-26,840.777695
2007-09-27,715.695135
2007-09-28,1042.242652
2007-10-08,1287.091423
2007-10-09,1075.940554
2007-10-10,1285.061027
2007-10-11,1374.289018
2007-10-12,1605.887473
2007-10-15,1550.520821
2007-10-16,1350.923429
2007-10-17,1083.284012
2007-10-18,1064.948046
2007-10-19,849.715421
2007-10-22,747.304062
2007-10-23,900.143135
2007-10-24,994.499644
2007-10-25,1038.90714
2007-10-26,772.837518
2007-10-29,723.538631
2007-10-30,797.279868
2007-10-31,1037.822887
2007-11-01,963.427417
2007-11-02,936.710825
2007-11-05,741.901959
2007-11-06,564.915314
2007-11-07,596.39211
2007-11-08,729.787435
2007-11-09,679.686514
2007-11-12,759.010433
2007-11-13,747.148237
2007-11-14,734.496573
2007-11-15,666.090448
2007-11-16,470.792472
2007-11-19,489.699931
2007-11-20,665.36135
2007-11-21,530.594522
2007-11-22,537.141231
2007-11-23,411.741121
2007-11-26,484.270468
2007-11-27,448.319103
2007-11-28,451.67306
2007-11-29,728.957521
2007-11-30,574.029776
2007-12-03,436.98299
2007-12-04,439.270289
2007-12-05,610.901803
2007-12-06,474.362729
2007-12-07,503.804007
2007-12-10,828.98156
2007-12-11,820.343875
2007-12-12,837.535
2007-12-13,771.251519
2007-12-14,611.625692
2007-12-17,769.353827
2007-12-18,474.473525
2007-12-19,603.798535
2007-12-20,599.274973
2007-12-21,735.498113
2007-12-24,1039.697559
2007-12-25,793.336596
2007-12-26,836.949094
2007-12-27,1092.168362
2007-12-28,950.566546
2008-01-02,988.864335
2008-01-03,1359.833549
2008-01-04,1188.662306
2008-01-07,1231.8955
2008-01-08,1479.757537
2008-01-09,1083.681032
2008-01-10,1443.164556
2008-01-11,1222.415348
2008-01-14,1093.56398
2008-01-15,1196.731419
2008-01-16,1266.34977
2008-01-17,1360.524246
2008-01-18,950.808729
2008-01-21,1015.400502
2008-01-22,1260.293417
2008-01-23,1110.061275
2008-01-24,1141.690754
2008-01-25,1006.800769
2008-01-28,814.607429
2008-01-29,580.406166
2008-01-30,722.192333
2008-01-31,643.116668
2008-02-01,679.414693
2008-02-04,856.603855
2008-02-05,706.260966
2008-02-13,432.716993
2008-02-14,401.52821
2008-02-15,472.987649
2008-02-18,618.446305
2008-02-19,742.077689
2008-02-20,849.808559
2008-02-21,679.321165
2008-02-22,771.103496
2008-02-25,653.236581
2008-02-26,676.259628
2008-02-27,603.114569
2008-02-28,503.325554
2008-02-29,472.750509
2008-03-03,796.849607
2008-03-04,885.576867
2008-03-05,734.79598
2008-03-06,857.10623
2008-03-07,605.524448
2008-03-10,611.473757
2008-03-11,523.443091
2008-03-12,557.026343
2008-03-13,657.694663
2008-03-14,455.642488
2008-03-17,523.760891
2008-03-18,584.594782
2008-03-19,688.237084
2008-03-20,824.325954
2008-03-21,749.854087
2008-03-24,639.435702
2008-03-25,582.924191
2008-03-26,520.260593
2008-03-27,551.51411
2008-03-28,727.260888
2008-03-31,511.666
2008-04-01,589.620805
2008-04-02,701.027583
2008-04-03,542.339012
2008-04-07,705.259269
2008-04-08,764.859163
2008-04-09,645.557674
2008-04-10,471.522583
2008-04-11,444.18993
2008-04-14,546.37417
2008-04-15,489.971266
2008-04-16,420.87715
2008-04-17,468.299532
2008-04-18,421.841189
2008-04-21,646.576865
2008-04-22,477.064418
2008-04-23,677.186171
2008-04-24,1493.945692
2008-04-25,1470.983268
2008-04-28,850.706547
2008-04-29,788.958255
2008-04-30,1226.372207
2008-05-05,1110.043872
2008-05-06,1061.984056
2008-05-07,984.653186
2008-05-08,778.391033
2008-05-09,963.778595
2008-05-12,816.914854
2008-05-13,798.473215
2008-05-14,852.308749
2008-05-15,817.958772
2008-05-16,662.793639
2008-05-19,497.556515
2008-05-20,645.720325
2008-05-21,691.791123
2008-05-22,662.81212
2008-05-23,525.307629
2008-05-26,455.243744
2008-05-27,398.562802
2008-05-28,499.947726
2008-05-29,465.890222
2008-05-30,468.866827
2008-06-02,419.668968
2008-06-03,487.964076
2008-06-04,429.637144
2008-06-05,365.659135
2008-06-06,302.985953
2008-06-10,458.182673
2008-06-11,405.965326
2008-06-12,428.173867
2008-06-13,331.939946
2008-06-16,337.318353
2008-06-17,320.312559
2008-06-18,528.266564
2008-06-19,452.649117
2008-06-20,652.595679
2008-06-23,323.823796
2008-06-24,388.857619
2008-06-25,516.193429
2008-06-26,525.085625
2008-06-27,493.24841
2008-06-30,315.024461
2008-07-01,352.425518
2008-07-02,351.262481
2008-07-03,588.081443
2008-07-04,473.635899
2008-07-07,632.847821
2008-07-08,678.871475
2008-07-09,858.462574
2008-07-10,776.435427
2008-07-11,550.853576
2008-07-14,439.205588
2008-07-15,571.182573
2008-07-16,453.613335
2008-07-17,380.543649
2008-07-18,472.132989
2008-07-21,549.380555
2008-07-22,477.816132
2008-07-23,469.495451
2008-07-24,602.55657
2008-07-25,477.061877
2008-07-28,470.894237
2008-07-29,421.920237
2008-07-30,342.239119
2008-07-31,311.792084
2008-08-01,397.484087
2008-08-04,274.40273
2008-08-05,347.708197
2008-08-06,317.445992
2008-08-07,266.610088
2008-08-08,336.176947
2008-08-11,324.545325
2008-08-12,244.596298
2008-08-13,274.806159
2008-08-14,211.561775
2008-08-15,212.96936
2008-08-18,226.628709
2008-08-19,184.075781
2008-08-20,445.644227
2008-08-21,396.513273
2008-08-22,261.838491
2008-08-25,189.652021
2008-08-26,222.628961
2008-08-27,235.799707
2008-08-28,217.110919
2008-08-29,290.008996
2008-09-01,213.848821
2008-09-02,186.450296
2008-09-03,240.666251
2008-09-04,185.485803
2008-09-05,197.095663
2008-09-08,201.141319
2008-09-09,154.806328
2008-09-10,203.070954
2008-09-11,206.780108
2008-09-12,176.523245
2008-09-16,287.693005
2008-09-17,269.886149
2008-09-18,368.449241
2008-09-19,321.047197
2008-09-22,984.155759
2008-09-23,695.166781
2008-09-24,401.836378
2008-09-25,717.582749
2008-09-26,595.180968
2008-10-06,418.273433
2008-10-07,415.12001
2008-10-08,346.898947
2008-10-09,317.602851
2008-10-10,329.241067
2008-10-13,376.064238
2008-10-14,489.751166
2008-10-15,265.558923
2008-10-16,324.938468
2008-10-17,230.174361
2008-10-20,284.354476
2008-10-21,335.889964
2008-10-22,265.628357
2008-10-23,290.788027
2008-10-24,271.010122
2008-10-27,278.675179
2008-10-28,364.358755
2008-10-29,312.242651
2008-10-30,321.658054
2008-10-31,212.819027
2008-11-03,195.140099
2008-11-04,189.847615
2008-11-05,315.00415
2008-11-06,215.470451
2008-11-07,236.204649
2008-11-10,473.222921
2008-11-11,491.942743
2008-11-12,344.537925
2008-11-13,649.887562
2008-11-14,734.29585
2008-11-17,709.191842
2008-11-18,761.657486
2008-11-19,648.381172
2008-11-20,669.190389
2008-11-21,661.242748
2008-11-24,397.946204
2008-11-25,346.296523
2008-11-26,347.323014
2008-11-27,717.533581
2008-11-28,406.485144
2008-12-01,382.371602
2008-12-02,481.519241
2008-12-03,673.932733
2008-12-04,985.802181
2008-12-05,599.506917
2008-12-08,891.760502
2008-12-09,775.466901
2008-12-10,707.51388
2008-12-11,637.776962
2008-12-12,548.665527
2008-12-15,407.564439
2008-12-16,385.522479
2008-12-17,491.201774
2008-12-18,484.551527
2008-12-19,534.103961
2008-12-22,438.434604
2008-12-23,508.257666
2008-12-24,342.105267
2008-12-25,308.059967
2008-12-26,285.363137
2008-12-29,293.295633
2008-12-30,296.285068
2008-12-31,272.919142
2009-01-05,392.170768
2009-01-06,592.621706
2009-01-07,501.434183
2009-01-08,472.108024
2009-01-09,415.112114
2009-01-12,469.814927
2009-01-13,402.014647
2009-01-14,526.589949
2009-01-15,671.447727
2009-01-16,847.176487
2009-01-19,697.855303
2009-01-20,456.401277
2009-01-21,599.141921
2009-01-22,534.39127
2009-01-23,498.878282
2009-02-02,461.265467
2009-02-03,755.540978
2009-02-04,871.921594
2009-02-05,1017.124442
2009-02-06,956.400631
2009-02-09,1198.867909
2009-02-10,1078.916009
2009-02-11,1445.88095
2009-02-12,1160.502198
2009-02-13,1344.710796
2009-02-16,1473.803789
2009-02-17,1379.713081
2009-02-18,1124.556777
2009-02-19,883.98854
2009-02-20,852.472136
2009-02-23,1093.797707
2009-02-24,1271.311658
2009-02-25,1088.780607
2009-02-26,1017.953864
2009-02-27,803.374563
2009-03-02,608.779537
2009-03-03,641.096424
2009-03-04,1058.720888
2009-03-05,1288.666444
2009-03-06,854.953205
2009-03-09,837.589043
2009-03-10,550.580994
2009-03-11,705.891227
2009-03-12,538.439026
2009-03-13,546.362479
2009-03-16,481.283013
2009-03-17,940.286821
2009-03-18,1036.195956
2009-03-19,1013.484354
2009-03-20,1147.865068
2009-03-23,1277.940336
2009-03-24,1215.933595
2009-03-25,1054.062279
2009-03-26,1180.48783
2009-03-27,1341.400774
2009-03-30,1000.034744
2009-03-31,1066.312264
2009-04-01,1371.175585
2009-04-02,1437.089783
2009-04-03,1310.757308
2009-04-07,939.191142
2009-04-08,1071.444198
2009-04-09,828.6099
2009-04-10,1218.598531
2009-04-13,1568.019738
2009-04-14,1268.398768
2009-04-15,1335.861301
2009-04-16,1316.097246
2009-04-17,1161.848391
2009-04-20,1050.814934
2009-04-21,1184.739528
2009-04-22,1319.452834
2009-04-23,847.956572
2009-04-24,819.56596
2009-04-27,750.406114
2009-04-28,662.474901
2009-04-29,914.968027
2009-04-30,969.036835
2009-05-04,1133.510999
