时间,沪深300指数:涨跌幅
2004-05-24,-0.696651
2004-05-25,-1.92182
2004-05-26,0.45011
2004-05-27,2.169799
2004-05-28,-0.575917
2004-05-31,0.426056
2004-06-01,1.430512
2004-06-02,-0.994441
2004-06-03,-1.516422
2004-06-04,-0.065183
2004-06-07,-1.384418
2004-06-08,-1.354459
2004-06-09,-1.963664
2004-06-10,0.172652
2004-06-11,0.089337
2004-06-14,-2.202664
2004-06-15,1.747525
2004-06-16,0.545864
2004-06-17,-2.154864
2004-06-18,-1.173395
2004-06-21,0.542685
2004-06-22,0.945654
2004-06-23,-0.853929
2004-06-24,-0.938109
2004-06-25,-1.631508
2004-06-28,-1.150876
2004-06-29,1.412895
2004-06-30,-0.565361
2004-07-01,3.143669
2004-07-02,0.229776
2004-07-05,0.131935
2004-07-06,0.436038
2004-07-07,-0.950696
2004-07-08,0.216365
2004-07-09,-0.549133
2004-07-12,-2.144428
2004-07-13,0.335771
2004-07-14,0.180712
2004-07-15,1.398631
2004-07-16,2.607954
2004-07-19,0.150247
2004-07-20,-0.760246
2004-07-21,-0.019007
2004-07-22,-2.469924
2004-07-23,0.340663
2004-07-26,-1.300927
2004-07-27,-0.355938
2004-07-28,0.565074
2004-07-29,1.344353
2004-07-30,-1.402868
2004-08-02,-0.746502
2004-08-03,-0.644764
2004-08-04,2.7914
2004-08-05,-1.335416
2004-08-06,-0.052626
2004-08-09,0.481327
2004-08-10,0.467041
2004-08-11,-1.138646
2004-08-12,-1.036759
2004-08-13,0.225899
2004-08-16,-0.895711
2004-08-17,0.460286
2004-08-18,-0.063682
2004-08-19,-1.178269
2004-08-20,0.097338
2004-08-23,-1.227754
2004-08-24,1.165762
2004-08-25,-0.36756
2004-08-26,-0.429265
2004-08-27,-1.118654
2004-08-30,-0.086025
2004-08-31,1.697511
2004-09-01,-1.507145
2004-09-02,0.510935
2004-09-03,-0.175249
2004-09-06,-0.370758
2004-09-07,0.174767
2004-09-08,-0.948549
2004-09-09,-1.846635
2004-09-10,0.256282
2004-09-13,-2.156132
2004-09-14,3.034745
2004-09-15,4.18954
2004-09-16,1.090987
2004-09-17,3.233279
2004-09-20,3.537039
2004-09-21,-0.752348
2004-09-22,-2.042051
2004-09-23,3.37646
2004-09-24,-1.896059
2004-09-27,-0.69764
2004-09-28,0.734986
2004-09-29,-1.085152
2004-09-30,-1.306396
2004-10-08,2.036465
2004-10-11,-0.493235
2004-10-12,-2.022938
2004-10-13,0.057179
2004-10-14,-3.989484
2004-10-15,0.142907
2004-10-18,0.172374
2004-10-19,0.297516
2004-10-20,-0.350073
2004-10-21,-1.216857
2004-10-22,1.2548
2004-10-25,-1.312429
2004-10-26,0.959216
2004-10-27,0.98475
2004-10-28,-0.09414
2004-10-29,-1.719788
2004-11-01,-1.13025
2004-11-02,-0.259527
2004-11-03,1.830588
2004-11-04,-2.083071
2004-11-05,0.104675
2004-11-08,0.096827
2004-11-09,0.232411
2004-11-10,3.766932
2004-11-11,-0.558404
2004-11-12,0.219384
2004-11-15,1.126868
2004-11-16,-0.004978
2004-11-17,-0.945741
2004-11-18,0.990326
2004-11-19,0.584037
2004-11-22,0.273051
2004-11-23,-0.865536
2004-11-24,-0.664406
2004-11-25,-0.123229
2004-11-26,-0.126075
2004-11-29,-1.268296
2004-11-30,0.137749
2004-12-01,-0.438835
2004-12-02,-0.19742
2004-12-03,0.215234
2004-12-06,0.181417
2004-12-07,-1.138689
2004-12-08,0.094926
2004-12-09,0.986965
2004-12-10,-1.507931
2004-12-13,-0.584733
2004-12-14,-0.304496
2004-12-15,0.347097
2004-12-16,-0.44427
2004-12-17,-0.994511
2004-12-20,-1.331677
2004-12-21,-0.124236
2004-12-22,2.57053
2004-12-23,-1.791335
2004-12-24,0.087444
2004-12-27,-0.388922
2004-12-28,-0.172651
2004-12-29,-0.511528
2004-12-30,-0.152955
2004-12-31,-0.397315
2005-01-04,-1.7206
2005-01-05,0.994105
2005-01-06,-0.946035
2005-01-07,0.079742
2005-01-10,1.008275
2005-01-11,0.327605
2005-01-12,-0.038811
2005-01-13,0.012942
2005-01-14,-0.859785
2005-01-17,-2.110075
2005-01-18,0.748047
2005-01-19,-0.767322
2005-01-20,-1.133673
2005-01-21,2.756511
2005-01-24,1.580393
2005-01-25,-0.035867
2005-01-26,-0.78645
2005-01-27,-1.545264
2005-01-28,-0.556313
2005-01-31,-1.478525
2005-02-01,0.112266
2005-02-02,5.331026
2005-02-03,-1.360396
2005-02-04,2.380451
2005-02-16,0.661449
2005-02-17,-0.290939
2005-02-18,-1.425722
2005-02-21,1.946017
2005-02-22,2.058339
2005-02-23,-0.267496
2005-02-24,0.145219
2005-02-25,0.124443
2005-02-28,-0.646948
2005-03-01,-0.389908
2005-03-02,-1.410708
2005-03-03,0.625661
2005-03-04,-0.393399
2005-03-07,0.606056
2005-03-08,1.856155
2005-03-09,-0.232891
2005-03-10,-2.30578
2005-03-11,0.490604
2005-03-14,0.350097
2005-03-15,-1.697629
2005-03-16,-1.031846
2005-03-17,-1.017083
2005-03-18,-1.430006
2005-03-21,0.329837
2005-03-22,-1.819852
2005-03-23,-0.520112
2005-03-24,0.603852
2005-03-25,-0.191335
2005-03-28,-0.23459
2005-03-29,-0.573126
2005-03-30,-1.900774
2005-03-31,0.551634
2005-04-01,3.814677
2005-04-04,-1.633398
2005-04-05,-0.682833
2005-04-06,1.890963
2005-04-07,1.136424
2005-04-08,1.900211
2005-04-11,-0.799645
2005-04-12,-1.680093
2005-04-13,2.268629
2005-04-14,-1.391248
2005-04-15,-1.306315
2005-04-18,-1.058432
2005-04-19,0.219346
2005-04-20,-1.554945
2005-04-21,-0.724181
2005-04-22,-0.51696
2005-04-25,-0.961664
2005-04-26,0.754029
2005-04-27,-1.118257
2005-04-28,1.669429
2005-04-29,-1.027309
2005-05-09,-2.490468
2005-05-10,0.429181
2005-05-11,-1.229361
2005-05-12,-1.777566
2005-05-13,0.194509
2005-05-16,-1.382694
2005-05-17,0.707324
2005-05-18,0.196719
2005-05-19,0.110395
2005-05-20,-0.159245
2005-05-23,-2.200138
2005-05-24,0.592466
2005-05-25,-5.76E-4
2005-05-26,-1.280441
2005-05-27,-0.912483
2005-05-30,0.718534
2005-05-31,0.039036
2005-06-01,-2.151304
2005-06-02,-2.286838
2005-06-03,-0.042279
2005-06-06,2.562733
2005-06-07,-0.204411
2005-06-08,8.180159
2005-06-09,0.754162
2005-06-10,-1.977638
2005-06-13,-0.178524
2005-06-14,-1.055144
2005-06-15,-1.89047
2005-06-16,1.430839
2005-06-17,0.126018
2005-06-20,2.943164
2005-06-21,-1.113263
2005-06-22,0.499907
2005-06-23,-0.785436
2005-06-24,0.529224
2005-06-27,1.975062
2005-06-28,-1.345679
2005-06-29,-0.533132
2005-06-30,-2.248531
2005-07-01,-2.18417
2005-07-04,-0.41443
2005-07-05,-0.730549
2005-07-06,-0.838317
2005-07-07,0.257906
2005-07-08,-1.804129
2005-07-11,-0.650039
2005-07-12,3.36356
2005-07-13,-0.655658
2005-07-14,0.396937
2005-07-15,-1.010958
2005-07-18,-0.951961
2005-07-19,0.313687
2005-07-20,0.841663
2005-07-21,0.159736
2005-07-22,1.860929
