时间,沪深300指数:涨跌点数
2006-09-11,6.602
2006-09-12,8.884
2006-09-13,-9.253
2006-09-14,-0.108
2006-09-15,24.044
2006-09-18,13.241
2006-09-19,2.746
2006-09-20,0.15
2006-09-21,8.911
2006-09-22,-12.518
2006-09-25,-2.453
2006-09-26,-14.753
2006-09-27,13.471
2006-09-28,15.885
2006-09-29,16.263
2006-10-09,32.809
2006-10-10,1.171
2006-10-11,-1.339
2006-10-12,-9.406
2006-10-13,4.382
2006-10-16,-12.365
2006-10-17,-4.069
2006-10-18,23.145
2006-10-19,1.784
2006-10-20,0.805
2006-10-23,-31.467
2006-10-24,31.339
2006-10-25,6.771
2006-10-26,9.27
2006-10-27,-17.045
2006-10-30,7.189
2006-10-31,18.234
2006-11-01,14.936
2006-11-02,0.247
2006-11-03,8.635
2006-11-06,19.6
2006-11-07,8.213
2006-11-08,-17.931
2006-11-09,26.541
2006-11-10,-20.652
2006-11-13,-28.283
2006-11-14,17.997
2006-11-15,40.986
2006-11-16,-1.474
2006-11-17,28.796
2006-11-20,31.074
2006-11-21,19.091
2006-11-22,11.779
2006-11-23,10.886
2006-11-24,1.666
2006-11-27,15.221
2006-11-28,-7.787
2006-11-29,23.128
2006-11-30,47.216
2006-12-01,14.866
2006-12-04,51.512
2006-12-05,13.495
2006-12-06,-14.82
2006-12-07,-3.697
2006-12-08,-64.13
2006-12-11,78.34
2006-12-12,12.864
2006-12-13,1.068
2006-12-14,32.287
2006-12-15,31.493
2006-12-18,48.472
2006-12-19,5.336
2006-12-20,15.103
2006-12-21,-27.562
2006-12-22,-13.341
2006-12-25,43.46
2006-12-26,-0.866
2006-12-27,44.639
2006-12-28,-2.944
2006-12-29,61.114
2007-01-04,26.045
2007-01-05,5.791
2007-01-08,58.673
2007-01-09,68.53
2007-01-10,55.88
2007-01-11,-24.337
2007-01-12,-57.882
2007-01-15,113.595
2007-01-16,66.532
2007-01-17,-44.943
