时间,中国:沪深300:资金净主动买入额
2012-04-26,-16.73596
2012-04-27,-14.919218
2012-05-02,51.65145
2012-05-03,0.848228
2012-05-04,45.287782
2012-05-07,32.395532
2012-05-08,-0.416844
2012-05-09,-65.148044
2012-05-10,-12.384785
2012-05-11,-39.711502
2012-05-14,-64.605819
2012-05-15,-10.968555
2012-05-16,-78.673164
2012-05-17,24.1655
2012-05-18,-67.029921
2012-05-21,4.181347
2012-05-22,27.440639
2012-05-23,-28.406424
2012-05-24,-45.974652
2012-05-25,-44.045158
2012-05-28,40.930623
2012-05-29,40.66309
2012-05-30,-36.237838
2012-05-31,-15.697242
2012-06-01,-14.286579
2012-06-04,-93.233017
2012-06-05,-30.212978
2012-06-06,-25.918764
2012-06-07,-51.398154
2012-06-08,-27.335175
2012-06-11,25.856227
2012-06-12,-33.291394
2012-06-13,30.620866
2012-06-14,-40.850223
2012-06-15,-2.973652
2012-06-18,-5.82889
2012-06-19,-35.485774
2012-06-20,-6.727289
2012-06-21,-56.265684
2012-06-25,-36.130775
2012-06-26,-0.682401
2012-06-27,-20.720646
2012-06-28,-18.823066
2012-06-29,32.191812
2012-07-02,-25.883833
2012-07-03,-5.312986
2012-07-04,-15.376078
2012-07-05,-23.675769
2012-07-06,42.010315
2012-07-09,-40.955408
2012-07-10,-1.596044
2012-07-11,23.817831
2012-07-12,15.979738
2012-07-13,-11.921898
2012-07-16,-30.892055
2012-07-17,8.595847
2012-07-18,-2.475647
2012-07-19,6.198498
2012-07-20,-50.858418
2012-07-23,-28.242281
2012-07-24,6.872171
2012-07-25,-23.967767
2012-07-26,-13.258908
2012-07-27,1.138092
2012-07-30,-10.55103
2012-07-31,3.990946
2012-08-01,17.242762
2012-08-02,-26.177993
2012-08-03,19.715853
2012-08-06,10.236027
2012-08-07,-22.274268
2012-08-08,-20.47068
2012-08-09,12.615271
2012-08-10,-19.212182
2012-08-13,-30.135604
2012-08-14,2.319084
2012-08-15,-20.384399
2012-08-16,-18.501282
2012-08-17,-17.320588
2012-08-20,-21.921007
2012-08-21,-6.673968
2012-08-22,-30.03937
2012-08-23,7.435493
2012-08-24,-36.250061
2012-08-27,-23.933374
2012-08-28,-1.178963
2012-08-29,-19.754453
2012-08-30,-5.154759
2012-08-31,-13.889766
2012-09-03,-5.660205
2012-09-04,-47.18728
2012-09-05,-10.498116
2012-09-06,-0.812496
2012-09-07,80.255057
2012-09-10,-13.021957
2012-09-11,-23.020018
2012-09-12,-17.628059
2012-09-13,-13.889227
2012-09-14,10.858138
2012-09-17,-51.734347
2012-09-18,-34.56886
2012-09-19,-8.353537
2012-09-20,-69.264431
2012-09-21,-8.179835
2012-09-24,1.957175
2012-09-25,-18.728392
2012-09-26,-25.950539
2012-09-27,49.508317
2012-09-28,54.662936
2012-10-08,-42.395291
2012-10-09,49.169571
2012-10-10,-4.866425
2012-10-11,-29.806345
2012-10-12,-8.412613
2012-10-15,-16.045247
2012-10-16,-0.114112
2012-10-17,-5.578821
2012-10-18,43.322878
2012-10-19,-9.017007
2012-10-22,14.954616
2012-10-23,-47.445199
2012-10-24,-9.457948
2012-10-25,-24.67077
2012-10-26,-62.42575
2012-10-29,-27.566619
2012-10-30,-12.304027
2012-10-31,2.641295
2012-11-01,40.052417
2012-11-02,7.947653
2012-11-05,-15.933119
2012-11-06,-14.685822
2012-11-07,-2.144558
2012-11-08,-43.401694
2012-11-09,-16.125732
2012-11-12,-2.328743
2012-11-13,-53.268539
2012-11-14,7.914008
2012-11-15,-28.953624
2012-11-16,-33.674579
2012-11-19,-7.100686
2012-11-20,-21.844264
2012-11-21,15.335345
2012-11-22,-17.749691
2012-11-23,11.989157
2012-11-26,-20.650411
2012-11-27,-11.474937
2012-11-28,-3.500908
2012-11-29,2.410754
2012-11-30,10.967388
2012-12-03,-18.823406
2012-12-04,25.076504
2012-12-05,52.603472
2012-12-06,1.272125
2012-12-07,33.268062
2012-12-10,26.5502
2012-12-11,-13.390408
2012-12-12,12.755792
2012-12-13,-22.29463
2012-12-14,149.672554
2012-12-17,-6.830084
2012-12-18,14.06238
2012-12-19,19.320507
2012-12-20,26.354627
2012-12-21,-23.13448
2012-12-24,6.543856
2012-12-25,95.919947
2012-12-26,-23.719383
2012-12-27,-27.539858
2012-12-28,54.487334
2012-12-31,72.518618
2013-01-04,-29.71558
2013-01-07,17.373089
2013-01-08,-20.939967
2013-01-09,-16.88669
2013-01-10,-10.165514
2013-01-11,-80.770838
2013-01-14,126.209895
2013-01-15,-2.917971
2013-01-16,-42.808037
2013-01-17,-49.783914
2013-01-18,47.742665
2013-01-21,-21.645456
2013-01-22,-85.200423
2013-01-23,5.27099
2013-01-24,-0.739051
2013-01-25,-5.616066
2013-01-28,87.227814
2013-01-29,-9.95367
2013-01-30,-17.198992
2013-01-31,9.950471
2013-02-01,70.382198
2013-02-04,-19.287983
2013-02-05,38.576171
2013-02-06,-15.139987
2013-02-07,-12.63419
2013-02-08,40.057132
2013-02-18,-80.621215
2013-02-19,-88.789296
2013-02-20,9.350299
2013-02-21,-147.920672
2013-02-22,-41.033799
2013-02-25,-21.905281
2013-02-26,-63.900142
2013-02-27,-10.014662
2013-02-28,90.142912
2013-03-01,-52.483348
2013-03-04,-100.044499
2013-03-05,37.621226
2013-03-06,-0.421785
2013-03-07,-61.776978
2013-03-08,-33.609687
2013-03-11,-24.839424
2013-03-12,-63.207736
2013-03-13,-53.539228
2013-03-14,-15.41289
2013-03-15,-5.687748
2013-03-18,-63.245626
2013-03-19,7.526035
2013-03-20,95.340607
2013-03-21,-8.636852
2013-03-22,-1.967012
2013-03-25,-26.789057
2013-03-26,-49.225938
2013-03-27,-15.039008
2013-03-28,-57.200212
2013-03-29,-16.506394
2013-04-01,-26.407074
2013-04-02,-28.466565
2013-04-03,-14.357416
2013-04-08,-9.944249
2013-04-09,-10.343828
2013-04-10,-22.447642
2013-04-11,-36.724193
2013-04-12,-27.853801
2013-04-15,-28.854278
2013-04-16,37.638654
2013-04-17,-19.700083
2013-04-18,11.77133
2013-04-19,81.395843
2013-04-22,-16.345831
2013-04-23,-99.413644
2013-04-24,31.549436
2013-04-25,-19.740188
2013-04-26,-35.678112
2013-05-02,-12.914202
2013-05-03,34.044447
2013-05-06,29.911182
2013-05-07,-14.031957
2013-05-08,-0.452127
2013-05-09,-41.499579
2013-05-10,3.912633
2013-05-13,-21.023612
2013-05-14,-71.357218
2013-05-15,-6.544277
2013-05-16,45.868968
2013-05-17,83.600965
2013-05-20,6.53525
2013-05-21,-15.36371
2013-05-22,-14.284725
2013-05-23,-62.718215
2013-05-24,-1.449665
2013-05-27,-13.46
2013-05-28,51.367827
2013-05-29,-13.247306
2013-05-30,-26.92193
2013-05-31,-65.43124
2013-06-03,-15.149264
2013-06-04,-67.92353
2013-06-05,-20.399967
2013-06-06,-48.357304
2013-06-07,-61.659063
2013-06-13,-61.712769
2013-06-14,-4.917611
2013-06-17,-31.080892
2013-06-18,-20.100677
2013-06-19,-19.218913
2013-06-20,-83.055894
2013-06-21,1.818717
