时间,沪深300:成交量
2008-03-19,37.898477
2008-03-20,46.212944
2008-03-21,42.615163
2008-03-24,35.842438
2008-03-25,32.245863
2008-03-26,28.036763
2008-03-27,32.000668
2008-03-28,42.096777
2008-03-31,29.440841
2008-04-01,35.303462
2008-04-02,42.765884
2008-04-03,32.989493
2008-04-07,40.484982
2008-04-08,44.067922
2008-04-09,38.997168
2008-04-10,28.804396
2008-04-11,26.32859
2008-04-14,33.427046
2008-04-15,30.656886
2008-04-16,26.52812
2008-04-17,29.530618
2008-04-18,27.888162
2008-04-21,41.362307
2008-04-22,32.537969
2008-04-23,44.272553
2008-04-24,96.574896
2008-04-25,84.814491
2008-04-28,48.831235
2008-04-29,44.54044
2008-04-30,69.909777
2008-05-05,62.534073
2008-05-06,58.45928
2008-05-07,54.457706
2008-05-08,44.055668
2008-05-09,53.655929
2008-05-12,45.38266
2008-05-13,50.338012
2008-05-14,50.606901
2008-05-15,50.772975
2008-05-16,39.721752
2008-05-19,29.709581
2008-05-20,39.702629
2008-05-21,43.596162
2008-05-22,40.742717
2008-05-23,33.440431
2008-05-26,28.18019
2008-05-27,24.762693
2008-05-28,31.034914
2008-05-29,29.42274
2008-05-30,28.590847
2008-06-02,28.253358
2008-06-03,34.735141
2008-06-04,29.417653
2008-06-05,23.989279
2008-06-06,20.944229
2008-06-10,32.949961
2008-06-11,29.409735
2008-06-12,31.454109
2008-06-13,25.319837
2008-06-16,26.813794
2008-06-17,26.463778
2008-06-18,42.560095
2008-06-19,36.319039
2008-06-20,51.675905
2008-06-23,26.631493
2008-06-24,31.792456
2008-06-25,42.425261
2008-06-26,42.599312
2008-06-27,40.886556
2008-06-30,25.295406
2008-07-01,28.851585
2008-07-02,27.916365
2008-07-03,45.660305
2008-07-04,37.90501
2008-07-07,52.732024
2008-07-08,54.248078
2008-07-09,69.356968
2008-07-10,61.649554
2008-07-11,44.287101
2008-07-14,34.575043
2008-07-15,47.292759
2008-07-16,39.403115
2008-07-17,32.687335
2008-07-18,40.203402
2008-07-21,45.119577
2008-07-22,38.814976
2008-07-23,38.821233
2008-07-24,48.538665
2008-07-25,40.571081
2008-07-28,39.30864
2008-07-29,36.036275
2008-07-30,29.8108
2008-07-31,27.940966
2008-08-01,34.031491
2008-08-04,22.782324
2008-08-05,30.469235
2008-08-06,27.404022
2008-08-07,23.370439
2008-08-08,30.894581
2008-08-11,32.120206
2008-08-12,24.191944
2008-08-13,27.551711
2008-08-14,20.157236
2008-08-15,20.422261
2008-08-18,23.623106
2008-08-19,19.477106
2008-08-20,45.043415
2008-08-21,37.51804
2008-08-22,26.298241
2008-08-25,18.64319
2008-08-26,23.741937
2008-08-27,23.862584
2008-08-28,20.400291
2008-08-29,28.877845
2008-09-01,21.152803
2008-09-02,18.440498
2008-09-03,23.749474
2008-09-04,18.98478
2008-09-05,21.65448
2008-09-08,22.186554
2008-09-09,17.624298
2008-09-10,22.057844
2008-09-11,22.176781
2008-09-12,19.19702
2008-09-16,33.563261
2008-09-17,32.862242
2008-09-18,47.820263
2008-09-19,36.525404
2008-09-22,101.993873
2008-09-23,78.365617
2008-09-24,45.32818
2008-09-25,74.237912
2008-09-26,59.429943
2008-10-06,45.575264
2008-10-07,43.065325
2008-10-08,36.8747
2008-10-09,33.582311
2008-10-10,39.151593
2008-10-13,43.53812
2008-10-14,54.331946
2008-10-15,31.892398
2008-10-16,40.529648
2008-10-17,28.71542
2008-10-20,33.277152
2008-10-21,38.908395
2008-10-22,32.968572
2008-10-23,35.758654
2008-10-24,32.980668
2008-10-27,36.441847
2008-10-28,46.792804
2008-10-29,38.869488
2008-10-30,41.284292
2008-10-31,28.314534
2008-11-03,25.381097
2008-11-04,26.100165
2008-11-05,42.41821
2008-11-06,30.784179
2008-11-07,31.52159
2008-11-10,63.948859
2008-11-11,66.072851
2008-11-12,44.08796
2008-11-13,83.234552
2008-11-14,91.168717
2008-11-17,87.836626
2008-11-18,97.278353
2008-11-19,82.117408
2008-11-20,83.187038
2008-11-21,83.049329
2008-11-24,50.561517
2008-11-25,42.81459
2008-11-26,45.565635
2008-11-27,88.008322
2008-11-28,51.59066
2008-12-01,48.386333
2008-12-02,61.350235
2008-12-03,85.019144
2008-12-04,119.183441
2008-12-05,74.366326
2008-12-08,107.607131
2008-12-09,92.509814
2008-12-10,83.271062
2008-12-11,73.556236
2008-12-12,67.387266
2008-12-15,50.451096
2008-12-16,47.924878
2008-12-17,58.68515
2008-12-18,58.429224
2008-12-19,63.311227
2008-12-22,52.949464
2008-12-23,63.590464
2008-12-24,44.201831
2008-12-25,39.916834
2008-12-26,34.560888
2008-12-29,35.986873
2008-12-30,37.584627
2008-12-31,35.631355
2009-01-05,48.18702
2009-01-06,70.974097
2009-01-07,59.702167
2009-01-08,53.44649
2009-01-09,47.407216
2009-01-12,54.234156
2009-01-13,49.818137
2009-01-14,59.283231
2009-01-15,78.943648
2009-01-16,96.538633
2009-01-19,81.948177
2009-01-20,53.259262
2009-01-21,64.117428
2009-01-22,58.861947
2009-01-23,57.504109
2009-02-02,51.453906
2009-02-03,87.640302
2009-02-04,100.888428
2009-02-05,115.100122
2009-02-06,106.664904
2009-02-09,129.52367
2009-02-10,116.294548
2009-02-11,147.576637
2009-02-12,119.826218
2009-02-13,140.40991
2009-02-16,152.346669
2009-02-17,141.014991
2009-02-18,115.422062
2009-02-19,90.853928
2009-02-20,86.632069
2009-02-23,109.465403
2009-02-24,127.017555
2009-02-25,107.877528
2009-02-26,102.200385
2009-02-27,87.076415
2009-03-02,62.746181
2009-03-03,66.167314
2009-03-04,110.750033
2009-03-05,131.987347
2009-03-06,85.96545
2009-03-09,86.555948
2009-03-10,56.660449
2009-03-11,70.838676
2009-03-12,55.700111
2009-03-13,54.083094
2009-03-16,48.773854
2009-03-17,92.980528
2009-03-18,101.870071
2009-03-19,97.318766
2009-03-20,109.396738
2009-03-23,116.313049
2009-03-24,111.993525
2009-03-25,95.81666
2009-03-26,113.249452
2009-03-27,135.368546
2009-03-30,94.151665
2009-03-31,95.461752
2009-04-01,126.307625
2009-04-02,135.146806
2009-04-03,123.655216
2009-04-07,86.083257
2009-04-08,99.328094
2009-04-09,74.593703
2009-04-10,104.144408
2009-04-13,139.014541
2009-04-14,110.491304
2009-04-15,120.665292
2009-04-16,123.729613
2009-04-17,101.528808
2009-04-20,95.903694
2009-04-21,108.185252
2009-04-22,124.046413
2009-04-23,80.887942
2009-04-24,73.360969
2009-04-27,72.03939
2009-04-28,59.264983
2009-04-29,81.885006
2009-04-30,85.809348
2009-05-04,102.916565
2009-05-05,102.313722
2009-05-06,105.80665
2009-05-07,122.101161
2009-05-08,106.724988
2009-05-11,125.364452
2009-05-12,88.695942
2009-05-13,107.112856
2009-05-14,82.639329
2009-05-15,64.931431
2009-05-18,74.835786
2009-05-19,97.703617
2009-05-20,87.939215
2009-05-21,85.535394
2009-05-22,61.499012
2009-05-25,74.091671
2009-05-26,72.316012
2009-05-27,67.976645
2009-06-01,108.564883
2009-06-02,108.338397
2009-06-03,112.07331
2009-06-04,130.12771
2009-06-05,108.476324
2009-06-08,96.116366
2009-06-09,91.989886
2009-06-10,101.790039
2009-06-11,87.115997
2009-06-12,80.067067
2009-06-15,74.35209
2009-06-16,70.179242
2009-06-17,77.293118
2009-06-18,96.281316
2009-06-19,102.518069
2009-06-22,103.952583
2009-06-23,111.506734
2009-06-24,109.424313
2009-06-25,82.806887
2009-06-26,70.500908
2009-06-29,84.997075
2009-06-30,86.782347
2009-07-01,96.950565
2009-07-02,112.989294
2009-07-03,105.732592
2009-07-06,135.264049
2009-07-07,129.600799
2009-07-08,113.867592
2009-07-09,113.081523
2009-07-10,106.174912
2009-07-13,99.619651
2009-07-14,107.520425
